CODE,BIODIV,F_THREAT
3751,0.953883359,0
3752,1.245146548,0.00600601
3753,1.407414533,0.005005
3754,1.418409745,0.014014
3755,1.059717237,0.012012
3756,0.887102534,1.01702
3757,0.903031167,1.01502
3758,0.917621719,1.01101
3759,0.950288237,1.00901
3760,0.95247064,1.00701
3761,0.948598336,1.00601
3762,0.963971238,0.00800801
3763,0.952928973,1.01301
3764,0.947412659,1.01502
3765,0.947412659,1.02002
3766,0.922301481,0.03003
3767,0.934530728,0.028028
3768,0.952518099,0.028028
3769,1.005611615,1.03804
3770,1.018323007,0.037037
3771,1.015877371,0.032032
3772,1.02033088,1.04705
3773,1.013645735,1.12713
3774,1.028754967,1.18919
3775,1.105266387,1.32733
3776,1.380409981,1.4995
3777,1.399595371,2.48649
3778,1.399595371,1.42943
3779,1.947496461,1.58959
3780,1.246114456,1.66066
3781,1.254480659,1.55355
3782,1.315176502,1.41141
3783,1.424117114,1.63063
3784,1.671410005,1.68969
3785,1.618676256,1
3910,1.178472846,0
3911,1.19987139,0.003003
3912,1.19987139,0.003003
3913,1.409082163,0.031031
3914,1.447189065,0.027027
3915,1.259282776,0.014014
3916,0.877219691,1.02002
3917,0.899442261,1.01902
3918,0.899469189,0.013013
3919,0.908788292,0.011011
3920,0.907416804,0.00800801
3921,0.915943458,0.00600601
3922,0.933779065,0.011011
3923,0.930862662,0.015015
3924,0.949550523,0.017017
3925,0.967446978,1.02503
3926,0.967446978,1.04404
3927,0.937624597,1.04004
3928,0.943718844,0.042042
3929,0.9913316,1.04705
3930,1.008242267,0.0540541
3931,1.007807395,1.03604
3932,1.015779877,1.04104
3933,1.020695188,1.05706
3934,0.993639838,1.18619
3935,1.061673178,1.28028
3936,1.133821262,2.51251
3937,1.184091131,2.51752
3938,1.945272373,1.57558
3939,1.438977894,1.59459
3940,1.961558002,1.68268
3941,1.484734866,1.62963
3942,1.258882505,1.47347
3943,2.326154066,1.3974
3944,2.288566758,2.37437
3945,1.612801956,1
4070,1.169384449,0.002002
4071,1.021600413,0.004004
4072,1.006619829,0.00600601
4073,0.910730373,0.045045
4074,0.910730373,0.018018
4075,1.215289982,1.01101
4076,0.902610252,2.01702
4077,0.884667815,2.02803
4078,0.880524415,0.015015
4079,0.873517101,0.011011
4080,0.859492498,0.00600601
4081,0.893049112,0.00900901
4082,0.88344286,0.011011
4083,0.897460618,0.013013
4084,0.910832613,0.018018
4085,0.923418154,0.026026
4086,0.903608183,0.04004
4087,0.916273919,1.06807
4088,0.97810139,1.04905
4089,0.97810139,1.04004
4090,0.999401466,1.06907
4091,1.006775946,1.07708
4092,1.0083167,1.0961
4093,1.013774018,1.09309
4094,1.04527603,1.27528
4095,1.125454621,1.3003
4096,1.049422206,2.42242
4097,1.037367972,1.40741
4098,1.124306741,1.54955
4099,1.432863232,1.56657
4100,1.453829777,1.76476
4101,1.374637352,1.68268
4102,1.362718522,1.59159
4103,2.010180038,2.38539
4104,2.010180038,2.22923
4105,1.42530342,0.255255
4230,1.18835155,0.004004
4231,1.056341683,0.004004
4232,1.072151154,0.014014
4233,0.903728683,0.0720721
4234,0.900225186,0.021021
4235,0.900225186,2.01201
4236,0.886454868,2.01101
4237,0.880689623,1.01301
4238,0.875130757,1.00901
4239,0.854842539,0.00900901
4240,0.836747236,0.00900901
4241,0.88410859,0.01001
4242,0.867230904,0.012012
4243,0.865604443,0.012012
4244,0.883348624,0.017017
4245,0.890995732,0.024024
4246,0.856526705,0.035035
4247,0.877268163,0.0530531
4248,0.962646752,1.05506
4249,0.987918344,1.04404
4250,0.988069473,1.06507
4251,0.988069473,1.08108
4252,1.003079284,0.146146
4253,1.013774018,2.22122
4254,1.036016269,2.31932
4255,1.127972195,1.36036
4256,1.113108904,2.36236
4257,1.073809528,1.32432
4258,1.06876042,1.38739
4259,1.20985053,1.48248
4260,1.274963914,1.60661
4261,1.275851,1.57357
4262,1.226190976,1.36537
4263,1.404166378,2.37037
4264,1.347917511,1.26627
4265,1.419305234,0.282282
4389,1.102819451,0
4390,1.114614992,0.00600601
4391,1.020215099,0.00700701
4392,1.172031006,0.017017
4393,1.069008013,0.0550551
4394,0.904519352,0.028028
4395,0.889922151,2.01201
